occurrence_count	color_value	files
24	#f5f9ff	frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-properties.css, frontend/styles/ai-studio-prompt-actions.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-model-picker.css, frontend/styles/ai-studio-layout.css, frontend/styles/ai-studio-controls.css
18	rgba(255, 255, 255, 0.08)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-prompt-actions.css, frontend/styles/ai-studio-model-picker.css
9	#ffecec	frontend/styles/ai-studio-history.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-layout.css
9	rgba(0, 0, 0, 0.35)	frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-layout.css
9	rgba(245, 185, 66, 0.9)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-controls.css
9	rgba(255, 255, 255, 0.05)	frontend/styles/ai-studio-modals.css
9	rgba(37, 169, 191, 0.25)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-properties.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-model-picker.css, frontend/styles/ai-studio-controls.css
9	rgba(37, 169, 191, 0.6)	frontend/styles/ai-studio-properties.css, frontend/styles/ai-studio-history.css, frontend/styles/ai-studio-model-picker.css, frontend/styles/ai-studio-layout.css, frontend/styles/ai-studio-controls.css
8	rgba(12, 15, 22, 0.9)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-properties.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-model-picker.css, frontend/styles/ai-studio-controls.css
7	#1a140c	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-controls.css
7	rgba(0, 0, 0, 0.28)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-controls.css
7	rgba(0, 0, 0, 0.4)	frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-model-picker.css, frontend/styles/ai-studio-layout.css
7	rgba(255, 255, 255, 0.2)	frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-layout.css
7	rgba(37, 169, 191, 0.35)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-history.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-layout.css, frontend/styles/ai-studio-controls.css
6	#0f1d23	frontend/styles/ai-studio-prompts.css
6	#e9edf2	frontend/styles/ai-studio-prompts.css
6	rgba(0, 0, 0, 0.3)	frontend/styles/ai-studio-prompt-actions.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-layout.css, frontend/styles/ai-studio-controls.css
6	rgba(12, 15, 22, 0.85)	frontend/styles/ai-studio-text-properties.css, frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-canvas.css
6	rgba(201, 205, 214, 0.12)	frontend/styles/ai-studio-text-properties.css, frontend/styles/ai-studio-coming-soon.css, frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-history.css, frontend/styles/ai-studio-canvas.css
6	rgba(201, 205, 214, 0.16)	frontend/styles/ai-studio-coming-soon.css, frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-properties.css, frontend/styles/ai-studio-canvas.css
6	rgba(201, 205, 214, 0.25)	frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-layout.css
6	rgba(255, 255, 255, 0.35)	frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-layout.css
5	#f4921f	frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-layout.css
5	#ffffff	frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-layout.css
5	rgba(201, 205, 214, 0.18)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-controls.css
5	rgba(201, 205, 214, 0.45)	frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-properties.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-layout.css
5	rgba(255, 255, 255, 0.06)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-prompt-actions.css
5	rgba(255, 255, 255, 0.1)	frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-canvas.css
5	rgba(37, 169, 191, 0.18)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-modals.css
4	#22d3ee	frontend/styles/ai-studio-layout.css
4	#fff	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-modals.css
4	rgba(0, 0, 0, 0.2)	frontend/styles/ai-studio-properties.css, frontend/styles/ai-studio-model-picker.css, frontend/styles/ai-studio-layout.css, frontend/styles/ai-studio-controls.css
4	rgba(0, 0, 0, 0.38)	frontend/styles/ai-studio-prompt-actions.css, frontend/styles/ai-studio-canvas.css
4	rgba(12, 15, 22, 0.86)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-prompts.css
4	rgba(201, 205, 214, 0.08)	frontend/styles/ai-studio-coming-soon.css, frontend/styles/ai-studio-layout.css
4	rgba(201, 205, 214, 0.2)	frontend/styles/ai-studio-coming-soon.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-layout.css
4	rgba(201, 205, 214, 0.3)	frontend/styles/ai-studio-properties.css, frontend/styles/ai-studio-layout.css
4	rgba(201, 205, 214, 0.4)	frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-layout.css
4	rgba(245, 185, 66, 0.35)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-controls.css
4	rgba(248, 248, 248, 0.9)	frontend/styles/ai-studio-model-picker.css, frontend/styles/ai-studio-controls.css
4	rgba(255, 140, 66, 0.9)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-controls.css
4	rgba(255, 255, 255, 0)	frontend/styles/ai-studio-layout.css
4	rgba(255, 255, 255, 0.32)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-controls.css
4	rgba(255, 255, 255, 0.5)	frontend/styles/ai-studio-modals.css
4	rgba(37, 169, 191, 0.4)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-controls.css
4	rgba(4, 183, 135, 0.96)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-controls.css
3	#000000	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-layout.css, frontend/styles/ai-studio-controls.css
3	#0b1820	frontend/styles/ai-studio-prompt-actions.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-layout.css
3	#131518	frontend/styles/ai-studio-layout.css
3	#25a9bf	frontend/styles/ai-studio-prompt-actions.css, frontend/styles/ai-studio-layout.css, frontend/styles/ai-studio-controls.css
3	#34d399	frontend/styles/ai-studio-layout.css
3	#6ee7b7	frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-layout.css
3	#e10328	frontend/styles/ai-studio-layout.css
3	#eef2f7	frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-controls.css
3	#f43f5e	frontend/styles/ai-studio-layout.css
3	#f5b754	frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-layout.css
3	#f6a637	frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-layout.css
3	#f7fafc	frontend/styles/ai-studio-controls.css
3	#fbbf24	frontend/styles/ai-studio-layout.css
3	#ffb6b6	frontend/styles/ai-studio-modals.css
3	rgba(0, 0, 0, 0.25)	frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-layout.css
3	rgba(0, 0, 0, 0.42)	frontend/styles/ai-studio-model-picker.css, frontend/styles/ai-studio-layout.css, frontend/styles/ai-studio-controls.css
3	rgba(0, 0, 0, 0.55)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-modals.css
3	rgba(12, 15, 22, 0.82)	frontend/styles/ai-studio-controls.css
3	rgba(14, 213, 100, 0.658)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-controls.css
